UI_20150317_000001	{@st41b}Изучение атрибутов{nl}от Наставников каждого класса.{/}
UI_20150317_000002	{@st43}Список {/}
UI_20150317_000003	{@st59}Закрыть {/}
UI_20150317_000004	{@st43}Изучить атрибут{/}
UI_20150317_000005	{@st59}Закрыть окно атрибутов{/}
UI_20150317_000006	{@st41b}Деньги{/}
UI_20150317_000007	Мои Достижения
UI_20150317_000008	Рейтинг Сервера
UI_20150317_000009	{@st59}Есть неожиданное событие.{/}
UI_20150317_000010	{@st59}Есть новое сообщение Помощи{/}
UI_20150317_000011	{@st41}Какой тип стрел вы хотите создать?{/}
UI_20150317_000012	{@st41b}Один{/}
UI_20150317_000013	{@st41b}Все{/}
UI_20150317_000014	{@St41b}Пауза{/}
UI_20150317_000015	{@St43}Журнал приключений{/}
UI_20150317_000016	{@St43}Аукцион{/}
UI_20150317_000017	{@St59}Закрыть Аукцион{/}
UI_20150317_000018	{@St41b}Предметов Продано : %s ea, Предметов На продажу : %s ea{/}
UI_20150317_000019	{@St43}{s22}Item Auction{/}
UI_20150317_000020	{@st59}Закрыть информацию о Квесте{/}
UI_20150317_000021	Abe осталось дней
UI_20150317_000022	{@St41b}Оставшееся время
UI_20150317_000023	3 часа 16 минут
UI_20150317_000024	{@St41b}Начальная цена
UI_20150317_000025	{@St41b}Ставки
UI_20150317_000026	{@St41b}Текущая цена
UI_20150317_000027	{@St41b}Цена моментальной покупки
UI_20150317_000028	{@St41b}Минимальный шаг ставки {@st57}%s{@st41b}Silver{/}
UI_20150317_000029	{@St41b}Сделать ставку{/}
UI_20150317_000030	{@St43b}Купить сейчас!{nl}{img icon_item_silver 20 20}{@st57}%s{/}
UI_20150317_000031	{@St44}Настройки Разрешений{/}
UI_20150317_000032	{@St45}Имя:%s{/}
UI_20150317_000033	{@St45}Склад группы{/}
UI_20150317_000034	{@St49}Ни один
UI_20150317_000035	{@St49}Вставить
UI_20150317_000036	{@St49}Импортировать
UI_20150317_000037	{@St45}Обзор{/}
UI_20150317_000038	{@St49}Создать
UI_20150317_000039	{@St49}Удалить
UI_20150317_000040	{@St44}Сохранить{/}
UI_20150317_000041	{@St44}Отмена{/}
UI_20150317_000042	{@St43}{s22}Выбор прически{/}
UI_20150317_000043	{@st59}Предыдущая прическа{/}
UI_20150317_000044	{@St59}Следующая прическа{/}
UI_20150317_000045	{@st41b} Изменить {s18} (Coins 100 required) {/}
UI_20150317_000046	{@St59}Изменить на выбранную прическу.{/}
UI_20150317_000047	{@St41}Отмена
UI_20150317_000048	{@st43}Черный рынок{/}
UI_20150317_000049	НАзвание Книги
UI_20150317_000050	{@St59}Перестать читать{/}
UI_20150317_000051	{@st59}Предыдущая Страница{/}
UI_20150317_000052	{@st59}Следующая Страница{/}
UI_20150317_000053	{@st47}%s появилость!
UI_20150317_000054	{@st43}Очки{/}
UI_20150317_000055	Урона получено
UI_20150317_000056	Бонус Техники
UI_20150317_000057	Бонус Уворота
UI_20150317_000058	Сбросить время
UI_20150317_000059	Итоговый счет
UI_20150317_000060	{@st42}Потраченное время
UI_20150317_000061	10 минут
UI_20150317_000062	10 секунд
UI_20150317_000063	{@st44}Выполнить
UI_20150317_000064	{@st59}Закрыть Лавку благословений{/}
UI_20150317_000065	{@st43}Открыть Лавку благословений
UI_20150317_000066	Название Лавки благословений
UI_20150317_000067	{@st43}Создать
UI_20150317_000068	{@st43}Отмена
UI_20150317_000069	Открытие Лавки благословений
UI_20150317_000070	{@st59}Закрыть окно Лавки благословений.
UI_20150317_000071	{@st59}Лавка благословений{nl} - Вы можете получить благословение от другого игрока заплатив Серебро.
UI_20150317_000072	Меню транспорта
UI_20150317_000073	{ol}{s22}Высадиться{/}
UI_20150317_000074	Casting
UI_20150317_000075	{@st43}Игровые Настройки{/}
UI_20150317_000076	{@st64}Используйте кнопки стрелок, чтобы выбрать ячейку!
UI_20150317_000077	{@st43}Дополнительная информация {/}
UI_20150317_000078	{@st43}Выбрать Класс
UI_20150317_000079	Психокинетик
UI_20150317_000080	{@st42}%s Круг {/}
UI_20150317_000081	Сколько Кругов
UI_20150317_000082	Показывает краткое описание Класса.
UI_20150317_000083	{@st41b}Атака {@sti7}%s{/}
UI_20150317_000084	{@st41b}Поддержка {@sti7}%s{/}
UI_20150317_000085	{@st41b}Сложность{@sti7}%s{/}
UI_20150317_000086	{@st59}Закрыть окно Информации о Классе{/}
UI_20150317_000087	Оповещение о Продвижении
UI_20150317_000088	{@st43} Продвижение
UI_20150317_000089	{@sti7}{s14} Персонаж {/}
UI_20150317_000090	{@sti8}{s14} Класс {/}
UI_20150317_000091	{@st44}Чат{/}
UI_20150317_000092	Кому: WWWWWWWW и 1 другому
UI_20150317_000093	Общий: /s сообщение {nl} глобальный: /y сообщение {nl} Группа: /p сообщение{nl} Шепот: /w имя команды сообщение
UI_20150317_000094	{@st41}Нормальный сообщение{/}
UI_20150317_000095	{@59}Выход{/}
UI_20150317_000096	{@59}Пригласить{/}
UI_20150317_000097	{@st59}ВСЕ{/}
UI_20150317_000098	{@st59}Общий (/s chat){/}
UI_20150317_000099	{@st59}Глобальный (/y chat){/}
UI_20150317_000100	{@st59}Группа (/p chat){/}
UI_20150317_000101	{@st59} Шепот (/ w название барака, сообщение) {/}
UI_20150317_000102	{@st59}Изменение окна чата{/}
UI_20150317_000103	{@st43}{s22}Макросы чата{/}
UI_20150317_000104	{@st43}Макросы{/}
UI_20150317_000105	{@st59b} Макросы {nl} {@st59s} - Как использовать: {nl} 1. Закрепите иконку жеста в ячейке ниже {nl} 2. Запишите вашу фразу и сохраните {nl} 3. Используйте сочетание клавиш для совместного ипользования фразы и жеста {/}
UI_20150317_000106	{@st59}Закрыть макросы{/}
UI_20150317_000107	{@st41b} Сохранить {/}
UI_20150317_000108	{@st59}Сохранить настройки контента{/}
UI_20150317_000109	{@st41b} Отмена {/}
UI_20150317_000110	{@st59}Сбросить настройки контента{/}
UI_20150317_000111	{@st42}Настройки чата
UI_20150317_000112	{@st42}Прозрачность
UI_20150317_000113	Показывать речь над персонажем
UI_20150317_000114	Отображать Глобальный чат в верху экрана 
UI_20150317_000115	{@st43}Cheat List{/}
UI_20150317_000116	{@st42b}Предмет{/}
UI_20150317_000117	 {@st42b}Монстр{/}
UI_20150317_000118	{@st42b}Двигать карту{/}
UI_20150317_000119	{@st42b}Боевой приказ{/}
UI_20150317_000120	{@st41b}Закрыть{/}
UI_20150317_000121	{s16}{b}Кликните дважды или нажмите 'Создать' для создания предметов.
UI_20150317_000122	{s16}{b}ea
UI_20150317_000123	{s16}{b}Lv.
UI_20150317_000124	{@st41b}Поиск{/}
UI_20150317_000125	{s16}{b}Кликните дважды или нажмите 'Создать' для призыва монстров.
UI_20150317_000126	{s16}{b}ea
UI_20150317_000127	{s16}{b}Выберите желаемую локацию.
UI_20150317_000128	{s18}{b}Показывать мини-карту{/}
UI_20150317_000129	{@st41b}Список инструментов{/}
UI_20150317_000130	Коллекция {@st59b} {nl} {@st59s} - If you collect the items saved my collection deck games can collect the item {nl}   - If you use shortcut keys to activate the collection item collection deck {nl} {/}
UI_20150317_000131	{@st59}Закрыть информацию о Коллекции{/}
UI_20150317_000132	{@st43}Коллекция{/}
UI_20150317_000133	{@st43}Цветной спрей{/}
UI_20150317_000134	{@st49}Цветной спрей{/}
UI_20150317_000135	{@st49}Цвет{/}
UI_20150317_000136	{@st49}Осталось{/}
UI_20150317_000137	{@st49}Кисть{/}
UI_20150317_000138	{@st49}{a END_EDIT_SPRAY}Рисовать{/}{/}
UI_20150317_000139	{@st49}{a SAVE_EDIT_SPRAY}Сохранить{/}{/}
UI_20150317_000140	{@st49}{a LOAD_EDIT_SPRAY}Импортировать{/}{/}
UI_20150317_000141	{@st49}Закрыть{/}
UI_20150317_000142	{@st43} Выбор Компаньона
UI_20150317_000143	{@st59} Введите имя, чтобы получить компаньона {/}
UI_20150317_000144	{@st41b}Название{/}
UI_20150317_000145	{@st41b}Цена %s{/}
UI_20150317_000146	{@st59} close companion Moth pre-sale window {/}
UI_20150317_000147	{@st41b}Выбрать
UI_20150317_000148	{@st59}Подтвердить выбор {/}
UI_20150317_000149	{@st43}Магазин Компаньонов
UI_20150317_000150	{@st59}Закрыть агазин Компаньонов{/}
UI_20150317_000151	{@st43}Другая информация о персонаже{/}{@st42}
UI_20150317_000152	{@st59}Закрыть информацию о персонаже{/}
UI_20150317_000153	{@st41b}Информация
UI_20150317_000154	{@st41b}Записать
UI_20150317_000155	Имя Команды
UI_20150317_000156	Имя Персонажа
UI_20150317_000157	{#Ffff00}%s{/}Ранг %s {#ffff00}%s{/}Уровень
UI_20150317_000158	Боец
UI_20150317_000159	Преключение {#ffff00}%s{/} (Rank{#ffff00}%s{/}/%s)
UI_20150317_000160	Преключение {#ffff00}%s{/} ({#ffff00}Unranked{/})
UI_20150317_000161	Достижения {#ffff00}%s{/}ea
UI_20150317_000162	Настройки
UI_20150317_000163	Сотрите название вкладки для ее удаления.
UI_20150317_000164	{@st49}ВСЕ{/}
UI_20150317_000165	{@st49}Система{/}
UI_20150317_000166	{@st49}Диалоги{/}
UI_20150317_000167	{@st49}Битва{/}
UI_20150317_000168	{@st49}Предметы{/}
UI_20150317_000169	{@st43}Титры{/}
UI_20150317_000170	{@st43}Цель зафиксирована {/}
UI_20150317_000171	Имя NPC
UI_20150317_000172	Сравнить
UI_20150317_000173	Картинка
UI_20150317_000174	Выбрать беседу
UI_20150317_000175	Помощь по тексту
UI_20150317_000176	{@st41}Создать Предметы{/}
UI_20150317_000177	{@st45tw2}Изготовление предмета...
UI_20150317_000178	%r секунд
UI_20150317_000179	{@st41}Отмена{/}
